response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;3;7;3292501;3.184649;0.080810;0.079917;3.184802;0.000000
 200;3;7;3186723;3.290383;0.088497;0.083628;3.290516;0.000000
 200;3;7;3238025;3.238124;0.087364;0.083233;3.238383;0.000000
 200;2;5;2256461;4.646929;0.189431;0.188994;4.647083;0.148025
 200;3;7;3101126;3.381172;0.095721;0.090705;3.381341;0.000000
 200;3;7;3184402;3.292848;0.082577;0.080964;3.292915;0.000000
 200;3;7;3315308;3.162750;0.077317;0.074547;3.162893;0.000000
 200;3;7;3326106;3.152488;0.091105;0.087039;3.152625;0.000000
 200;3;7;3180944;3.296385;0.086878;0.082537;3.296494;0.000000
 200;3;7;3234452;3.241840;0.097787;0.093076;3.241960;0.000000
