response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;3;14041;0;1.355506;1.068479;1.064501;1.401018;0.518827;19673;0;/public/
200;3;377;0;1.238665;0.915627;0.907349;1.238788;0.371734;468;0;/public/script1.js
200;1.1;44191;0;1.406571;1.086543;1.086309;1.746598;0.783670;77184;0;/public/script2.js
200;3;19125;0;1.256038;0.924901;0.918070;1.345189;0.408782;25728;0;/public/script3.js
200;3;6768;0;1.266793;0.925006;0.919650;1.267054;0.405376;8576;0;/public/script4.js
200;1.1;6598;0;1.461405;1.153601;1.153303;1.462315;0.824898;9649;0;/public/script5.js
200;3;7396;0;1.304355;0.962917;0.957041;1.304497;0.412043;9649;0;/public/script6.js
200;3;2088;0;1.282786;0.947207;0.940633;1.282917;0.408117;2680;0;/public/script7.js
200;3;1868;0;2.582020;1.927487;1.919316;2.582183;0.411350;4824;0;/public/script8.js
200;3;7224;0;1.335413;1.005248;0.997707;1.335476;0.410818;9648;0;/public/script9.js
200;3;6048;0;1.329049;0.947200;0.941675;1.329174;0.408081;8040;0;/public/script10.js
200;3;1673;0;1.281036;0.945726;0.940208;1.281099;0.406882;2144;0;/public/script11.js
200;3;2624;0;2.449516;2.058337;2.049881;2.450886;0.402609;6432;0;/public/script12.js
200;3;2411;0;1.333334;0.997510;0.991772;1.333439;0.400867;3216;0;/public/script13.js
200;1.1;3481;0;1.539504;1.204826;1.204592;1.539706;0.854720;5360;0;/public/script14.js
200;1.1;2436;0;1.539554;1.204875;1.204642;1.539741;0.854044;3752;0;/public/script15.js
200;3;3235;0;1.319888;0.994515;0.986996;1.320011;0.403476;4271;0;/public/style1.css
200;3;317;0;1.353246;1.007510;1.003307;1.353300;0.399262;430;0;/public/style2.css
200;3;1534;0;1.394193;1.001247;0.996986;1.394271;0.399614;2139;0;/public/style3.css
200;3;2001;0;1.331432;0.994785;0.989783;1.334961;0.402756;2672;0;/public/style4.css
200;3;2791;0;1.338207;0.995465;0.990825;1.339070;0.402159;3738;0;/public/style5.css
200;3;795;0;1.348721;0.999578;0.995351;1.348803;0.398370;1073;0;/public/style6.css
