response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;iteration;fileName
 200;2;27804;0;0.170216;0.133373;0.133269;0.170298;0.047744;0;/public/
 200;2;1081;0;0.432581;0.350985;0.350915;0.432626;0.040107;0;/public/script1.js
 200;2;18791;0;0.249191;0.212207;0.211947;0.251979;0.047787;0;/public/script2.js
 200;2;10658;0;0.444086;0.358516;0.358337;0.444240;0.039979;0;/public/script3.js
 200;2;13440;0;0.352233;0.292642;0.292558;0.352283;0.039632;0;/public/script4.js
 200;2;10707;0;0.442117;0.352833;0.352764;0.442200;0.051226;0;/public/script5.js
 200;2;11039;0;0.428370;0.345019;0.344933;0.428931;0.045021;0;/public/script6.js
 200;2;7798;0;0.343618;0.295432;0.295371;0.343668;0.042510;0;/public/script7.js
 200;2;11062;0;0.427814;0.345451;0.345364;0.428041;0.044491;0;/public/script8.js
 200;2;13598;0;0.435284;0.346438;0.346365;0.435400;0.044195;0;/public/script9.js
 200;2;13988;0;0.338439;0.286087;0.286014;0.338495;0.047375;0;/public/script10.js
 200;2;6221;0;0.344574;0.291387;0.291198;0.344612;0.043373;0;/public/script11.js
 200;2;11019;0;0.427851;0.343345;0.343273;0.429676;0.049446;0;/public/script12.js
 200;2;7530;0;0.427008;0.343754;0.343680;0.427049;0.048561;0;/public/script13.js
 200;2;11101;0;0.426438;0.340285;0.340042;0.426524;0.049404;0;/public/script14.js
 200;2;15809;0;0.237294;0.200281;0.200212;0.237322;0.045461;0;/public/script15.js
 200;2;18512;0;0.228016;0.196638;0.196577;0.230705;0.044561;0;/public/style1.css
 200;2;1026;0;0.418657;0.331622;0.331532;0.418721;0.047692;0;/public/style2.css
 200;2;5013;0;0.426593;0.335217;0.335149;0.426627;0.046995;0;/public/style3.css
 200;2;8102;0;0.329758;0.275185;0.275120;0.329792;0.046718;0;/public/style4.css
 200;2;8903;0;0.419820;0.330412;0.330353;0.419857;0.078153;0;/public/style5.css
 200;2;2560;0;0.418993;0.335823;0.335755;0.419116;0.047066;0;/public/style6.css
 200;2;31293;0;0.189140;0.151869;0.151780;0.189209;0.053421;1;/public/
 200;2;1274;0;0.367246;0.323366;0.323306;0.367270;0.046279;1;/public/script1.js
 200;2;15450;0;0.383183;0.341125;0.341066;0.383236;0.045563;1;/public/script2.js
 200;2;13298;0;0.355718;0.319139;0.318926;0.356054;0.044455;1;/public/script3.js
 200;2;15316;0;0.309087;0.263018;0.262684;0.309152;0.045848;1;/public/script4.js
 200;2;13539;0;0.349662;0.313049;0.312985;0.349710;0.042101;1;/public/script5.js
 200;2;12504;0;0.378613;0.332777;0.332722;0.378675;0.041288;1;/public/script6.js
 200;2;7275;0;0.368306;0.324776;0.324629;0.368346;0.044817;1;/public/script7.js
 200;2;12904;0;0.366864;0.322928;0.322865;0.366923;0.047412;1;/public/script8.js
 200;2;12611;0;0.375408;0.329307;0.329248;0.375459;0.044337;1;/public/script9.js
 200;2;12953;0;0.365477;0.319973;0.319917;0.365548;0.052763;1;/public/script10.js
 200;2;6271;0;0.341550;0.303553;0.303469;0.341879;0.045534;1;/public/script11.js
 200;2;14381;0;0.329190;0.278642;0.278504;0.329245;0.042653;1;/public/script12.js
 200;2;8669;0;0.370932;0.324683;0.324542;0.370964;0.041452;1;/public/script13.js
 200;2;12833;0;0.368888;0.325033;0.324932;0.368948;0.044442;1;/public/script14.js
 200;2;10535;0;0.336822;0.300083;0.300031;0.336864;0.040436;1;/public/script15.js
 200;2;12025;0;0.355119;0.311012;0.310952;0.355169;0.054829;1;/public/style1.css
 200;2;1246;0;0.345009;0.301966;0.301840;0.345028;0.055993;1;/public/style2.css
 200;2;6173;0;0.346450;0.301597;0.301540;0.346487;0.057093;1;/public/style3.css
 200;2;7322;0;0.364838;0.319772;0.319694;0.364882;0.052002;1;/public/style4.css
 200;2;10867;0;0.340454;0.300539;0.300479;0.343956;0.047889;1;/public/style5.css
 200;2;2993;0;0.358470;0.316731;0.316669;0.358502;0.071985;1;/public/style6.css
 200;2;29892;0;0.156730;0.121628;0.121448;0.158403;0.039499;2;/public/
 200;2;1318;0;0.354987;0.309389;0.309337;0.355014;0.040638;2;/public/script1.js
 200;2;14238;0;0.332500;0.292594;0.292529;0.332548;0.040801;2;/public/script2.js
 200;2;18280;0;0.258882;0.223736;0.223571;0.259014;0.040606;2;/public/script3.js
 200;2;16422;0;0.357191;0.318826;0.318775;0.360532;0.039893;2;/public/script4.js
 200;2;13494;0;0.350837;0.305281;0.305230;0.350884;0.041159;2;/public/script5.js
 200;2;10598;0;0.334812;0.298028;0.297973;0.334853;0.046473;2;/public/script6.js
 200;2;7415;0;0.361377;0.321870;0.321801;0.361415;0.041291;2;/public/script7.js
 200;2;18166;0;0.260527;0.218205;0.218142;0.260639;0.038216;2;/public/script8.js
 200;2;14665;0;0.322777;0.282868;0.282818;0.322876;0.042624;2;/public/script9.js
 200;2;14312;0;0.330791;0.293092;0.293043;0.330837;0.045596;2;/public/script10.js
 200;2;6174;0;0.347209;0.305588;0.305392;0.347235;0.046502;2;/public/script11.js
 200;2;13617;0;0.347665;0.301458;0.301401;0.347708;0.055153;2;/public/script12.js
 200;2;9195;0;0.349681;0.312915;0.312861;0.349737;0.051053;2;/public/script13.js
 200;2;13676;0;0.346147;0.309079;0.309018;0.346206;0.055007;2;/public/script14.js
 200;2;10722;0;0.349885;0.310770;0.310710;0.349915;0.042899;2;/public/script15.js
 200;2;12417;0;0.343887;0.308533;0.308481;0.343942;0.054877;2;/public/style1.css
 200;2;1337;0;0.321548;0.285031;0.284875;0.321577;0.049755;2;/public/style2.css
 200;2;6614;0;0.323318;0.282869;0.282793;0.323371;0.043920;2;/public/style3.css
 200;2;7721;0;0.346025;0.305777;0.305685;0.346058;0.075327;2;/public/style4.css
 200;2;11106;0;0.336485;0.290257;0.290092;0.336551;0.048328;2;/public/style5.css
 200;2;4019;0;0.266893;0.220186;0.219893;0.266925;0.045781;2;/public/style6.css
 200;2;28549;0;0.165784;0.128233;0.128153;0.165850;0.047190;3;/public/
 200;2;1600;0;0.292435;0.251440;0.251247;0.292465;0.043100;3;/public/script1.js
 200;2;13929;0;0.339882;0.296273;0.296223;0.339925;0.041572;3;/public/script2.js
 200;2;16583;0;0.356973;0.319111;0.319059;0.357034;0.041679;3;/public/script3.js
 200;2;13943;0;0.339534;0.296026;0.295975;0.339576;0.041131;3;/public/script4.js
 200;2;16886;0;0.280284;0.238339;0.238120;0.280402;0.047219;3;/public/script5.js
 200;2;17949;0;0.329826;0.288928;0.288859;0.329866;0.042735;3;/public/script6.js
 200;2;8130;0;0.329613;0.287026;0.286968;0.329643;0.040787;3;/public/script7.js
 200;2;14295;0;0.331173;0.287505;0.287439;0.331221;0.038791;3;/public/script8.js
 200;2;13839;0;0.342086;0.301947;0.301885;0.342143;0.045230;3;/public/script9.js
 200;2;14736;0;0.321266;0.276100;0.276035;0.321309;0.043333;3;/public/script10.js
 200;2;6274;0;0.341621;0.299636;0.299583;0.341676;0.041989;3;/public/script11.js
 200;2;14859;0;0.318615;0.273350;0.273289;0.318662;0.045812;3;/public/script12.js
 200;2;9368;0;0.343252;0.305374;0.305317;0.343278;0.041563;3;/public/script13.js
 200;2;14615;0;0.323936;0.284495;0.284434;0.323982;0.039273;3;/public/script14.js
 200;2;11072;0;0.338833;0.300633;0.300571;0.338860;0.046727;3;/public/script15.js
 200;2;12767;0;0.334478;0.297806;0.297630;0.334520;0.044657;3;/public/style1.css
 200;2;1286;0;0.334278;0.297594;0.297540;0.334300;0.045712;3;/public/style2.css
 200;2;7407;0;0.286521;0.248834;0.248629;0.288752;0.044607;3;/public/style3.css
 200;2;9348;0;0.285772;0.240247;0.240134;0.285833;0.049715;3;/public/style4.css
 200;2;13711;0;0.272587;0.232386;0.232214;0.272622;0.041997;3;/public/style5.css
 200;2;3197;0;0.335570;0.297604;0.297478;0.335597;0.076245;3;/public/style6.css
 200;2;30283;0;0.156280;0.118722;0.118538;0.156354;0.037835;4;/public/
 200;2;1458;0;0.320796;0.284085;0.284036;0.320824;0.042033;4;/public/script1.js
 200;2;15829;0;0.295468;0.255326;0.255212;0.299123;0.042039;4;/public/script2.js
 200;2;16767;0;0.353074;0.317198;0.317134;0.353116;0.051895;4;/public/script3.js
 200;2;13421;0;0.352760;0.313650;0.313590;0.352796;0.041638;4;/public/script4.js
 200;2;12863;0;0.368051;0.330955;0.330881;0.368097;0.058551;4;/public/script5.js
 200;2;14160;0;0.334340;0.296087;0.296020;0.334389;0.042808;4;/public/script6.js
 200;2;7756;0;0.345474;0.306039;0.305871;0.345536;0.039463;4;/public/script7.js
 200;2;14630;0;0.323594;0.284581;0.284475;0.323639;0.053674;4;/public/script8.js
 200;2;14852;0;0.318760;0.280366;0.280316;0.318798;0.044806;4;/public/script9.js
 200;2;15529;0;0.304076;0.261513;0.261449;0.304901;0.043812;4;/public/script10.js
 200;2;6576;0;0.326003;0.286844;0.286786;0.326028;0.042874;4;/public/script11.js
 200;2;15487;0;0.305698;0.264383;0.264333;0.305740;0.041711;4;/public/script12.js
 200;2;10582;0;0.303861;0.254495;0.254446;0.303890;0.041137;4;/public/script13.js
 200;2;15405;0;0.347886;0.312260;0.312186;0.347936;0.041159;4;/public/script14.js
 200;2;12086;0;0.310413;0.271951;0.271893;0.310441;0.042284;4;/public/script15.js
 200;2;12084;0;0.353385;0.319597;0.319530;0.353433;0.046916;4;/public/style1.css
 200;2;1536;0;0.279777;0.242677;0.242452;0.279824;0.043226;4;/public/style2.css
 200;2;6351;0;0.336737;0.294552;0.294497;0.336773;0.064403;4;/public/style3.css
 200;2;8404;0;0.316084;0.280438;0.280382;0.317913;0.043194;4;/public/style4.css
 200;2;12182;0;0.306813;0.266013;0.265958;0.306839;0.043505;4;/public/style5.css
 200;2;3418;0;0.313836;0.274682;0.274631;0.313865;0.046473;4;/public/style6.css
 200;2;29940;0;0.158069;0.119954;0.119793;0.158149;0.037486;5;/public/
 200;2;1350;0;0.346457;0.303834;0.303677;0.346499;0.044282;5;/public/script1.js
 200;2;17275;0;0.270956;0.230240;0.230172;0.274086;0.045573;5;/public/script2.js
 200;2;21371;0;0.277000;0.239745;0.239498;0.277054;0.054867;5;/public/script3.js
 200;2;17530;0;0.269011;0.229267;0.229126;0.270102;0.050209;5;/public/script4.js
 200;2;13873;0;0.341251;0.301169;0.301032;0.341305;0.045304;5;/public/script5.js
 200;2;13094;0;0.361547;0.323177;0.323107;0.361594;0.047297;5;/public/script6.js
 200;2;7823;0;0.342523;0.297626;0.297568;0.342570;0.050071;5;/public/script7.js
 200;2;13782;0;0.349949;0.308083;0.307969;0.350016;0.044803;5;/public/script8.js
 200;2;16581;0;0.356846;0.318844;0.318728;0.357089;0.054456;5;/public/script9.js
 200;2;16840;0;0.351539;0.310916;0.310852;0.351596;0.049628;5;/public/script10.js
 200;2;6561;0;0.326736;0.289448;0.289389;0.326760;0.048539;5;/public/script11.js
 200;2;17681;0;0.334831;0.294323;0.294271;0.334870;0.052168;5;/public/script12.js
 200;2;9069;0;0.354558;0.314891;0.314842;0.354583;0.053146;5;/public/script13.js
 200;2;17718;0;0.302309;0.259034;0.258807;0.302505;0.051347;5;/public/script14.js
 200;2;15524;0;0.241655;0.203996;0.203747;0.241687;0.048447;5;/public/script15.js
 200;2;13198;0;0.323531;0.282288;0.282191;0.323598;0.044327;5;/public/style1.css
 200;2;1277;0;0.336603;0.300172;0.300122;0.336623;0.050680;5;/public/style2.css
 200;2;6499;0;0.329086;0.294295;0.294240;0.329115;0.049675;5;/public/style3.css
 200;2;8182;0;0.326526;0.290284;0.290226;0.326554;0.071104;5;/public/style4.css
 200;2;11212;0;0.333345;0.296696;0.296647;0.333382;0.050198;5;/public/style5.css
 200;2;3123;0;0.343478;0.305276;0.305213;0.343504;0.090110;5;/public/style6.css
 200;2;16119;0;0.291873;0.205040;0.204935;0.293747;0.077152;6;/public/
 200;2;1258;0;0.371817;0.330701;0.330652;0.371846;0.045364;6;/public/script1.js
 200;2;15605;0;0.379368;0.341098;0.340977;0.379420;0.044676;6;/public/script2.js
 200;2;16117;0;0.367302;0.325438;0.324836;0.367358;0.050444;6;/public/script3.js
 200;2;12710;0;0.372480;0.335332;0.335276;0.372535;0.043665;6;/public/script4.js
 200;2;13029;0;0.363351;0.322215;0.322168;0.363405;0.042201;6;/public/script5.js
 200;2;12940;0;0.365855;0.325881;0.325831;0.365903;0.042766;6;/public/script6.js
 200;2;7384;0;0.361011;0.321273;0.321212;0.362915;0.041693;6;/public/script7.js
 200;2;13635;0;0.353725;0.313341;0.313279;0.353781;0.040192;6;/public/script8.js
 200;2;16577;0;0.354982;0.316005;0.315912;0.357167;0.044638;6;/public/script9.js
 200;2;16841;0;0.351419;0.311061;0.311001;0.351579;0.041206;6;/public/script10.js
 200;2;5929;0;0.361545;0.324585;0.324389;0.361578;0.045694;6;/public/script11.js
 200;2;12971;0;0.364980;0.328321;0.328258;0.365023;0.033954;6;/public/script12.js
 200;2;9085;0;0.353953;0.314948;0.314864;0.353979;0.038851;6;/public/script13.js
 200;2;13746;0;0.344397;0.303811;0.303756;0.344452;0.050697;6;/public/script14.js
 200;2;10990;0;0.341372;0.302442;0.302381;0.341401;0.041472;6;/public/script15.js
 200;2;12563;0;0.339898;0.299983;0.299685;0.339940;0.040383;6;/public/style1.css
 200;2;1260;0;0.341247;0.301105;0.300923;0.341269;0.050369;6;/public/style2.css
 200;2;5998;0;0.356584;0.318132;0.318074;0.356613;0.049489;6;/public/style3.css
 200;2;7665;0;0.348534;0.313421;0.313366;0.348559;0.065725;6;/public/style4.css
 200;2;10592;0;0.352865;0.315031;0.314856;0.352900;0.065735;6;/public/style5.css
 200;2;3169;0;0.338512;0.300716;0.300656;0.338547;0.040820;6;/public/style6.css
 200;2;29427;0;0.158903;0.124799;0.124620;0.160904;0.042984;7;/public/
 200;2;1181;0;0.396130;0.333063;0.333008;0.396158;0.046052;7;/public/script1.js
 200;2;12402;0;0.381713;0.277771;0.277705;0.381784;0.046095;7;/public/script2.js
 200;2;17151;0;0.275845;0.194577;0.194448;0.276075;0.038670;7;/public/script3.js
 200;2;15132;0;0.391164;0.332318;0.330401;0.391269;0.038302;7;/public/script4.js
