response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;3;23949;0;0.220394;0.098370;0.095502;0.223805;0.006527;5360;2;/public/script14.js
200;3;15974;0;0.230430;0.111526;0.108586;0.234876;0.008691;3752;2;/public/script15.js
200;3;19643;0;0.217372;0.103436;0.100685;0.217426;0.006452;4271;2;/public/style1.css
200;3;2135;0;0.201272;0.115017;0.112127;0.201340;0.008263;430;2;/public/style2.css
200;3;15589;0;0.136945;0.099470;0.096791;0.137210;0.010654;2139;2;/public/style3.css
200;3;11598;0;0.230300;0.112583;0.109852;0.230376;0.005779;2672;2;/public/style4.css
200;3;16268;0;0.229718;0.125457;0.122703;0.229770;0.004595;3738;2;/public/style5.css
200;3;4851;0;0.221089;0.105651;0.102895;0.221153;0.003965;1073;2;/public/style6.css
200;3;140234;0;0.132041;0.094414;0.087372;0.140286;0.008918;19673;3;/public/
200;3;2334;0;0.200443;0.122790;0.118077;0.200484;0.030760;468;3;/public/script1.js
200;3;212767;0;0.160402;0.114821;0.112215;0.362762;0.020052;77184;3;/public/script2.js
200;3;135843;0;0.178598;0.119818;0.117382;0.189394;0.019588;25728;3;/public/script3.js
200;3;44045;0;0.190171;0.117016;0.114696;0.194708;0.018913;8576;3;/public/script4.js
200;3;51569;0;0.183543;0.116436;0.114144;0.187107;0.017065;9649;3;/public/script5.js
200;3;44579;0;0.216396;0.110507;0.108105;0.216445;0.013549;9649;3;/public/script6.js
200;3;13989;0;0.189505;0.111335;0.108768;0.191579;0.017903;2680;3;/public/script7.js
200;3;31856;0;0.150197;0.104510;0.101653;0.151431;0.007328;4824;3;/public/script8.js
200;3;60118;0;0.154893;0.094548;0.091179;0.160484;0.011962;9648;3;/public/script9.js
200;3;30474;0;0.263759;0.100823;0.098473;0.263828;0.011447;8040;3;/public/script10.js
200;3;9638;0;0.222406;0.105364;0.103068;0.222447;0.013672;2144;3;/public/script11.js
200;3;43454;0;0.143022;0.105372;0.103036;0.148017;0.015784;6432;3;/public/script12.js
200;3;14518;0;0.217362;0.103220;0.100849;0.221512;0.010501;3216;3;/public/script13.js
200;3;20641;0;0.259611;0.096688;0.094315;0.259665;0.006053;5360;3;/public/script14.js
200;3;17578;0;0.213400;0.097365;0.095074;0.213443;0.007524;3752;3;/public/script15.js
200;3;14915;0;0.286087;0.122139;0.120271;0.286339;0.014269;4271;3;/public/style1.css
200;3;1930;0;0.222681;0.100076;0.097733;0.222749;0.007877;430;3;/public/style2.css
200;3;9979;0;0.211229;0.093110;0.090817;0.214332;0.003896;2139;3;/public/style3.css
200;3;12254;0;0.216853;0.101511;0.099422;0.218040;0.003543;2672;3;/public/style4.css
200;3;16450;0;0.222759;0.109486;0.107327;0.227234;0.003429;3738;3;/public/style5.css
200;3;4993;0;0.214831;0.104260;0.102388;0.214874;0.003821;1073;3;/public/style6.css
200;3;116380;0;0.167556;0.089413;0.081806;0.169040;0.007665;19673;4;/public/
200;3;2453;0;0.190668;0.118587;0.116414;0.190742;0.017131;468;4;/public/script1.js
200;3;110628;0;0.298958;0.118457;0.116369;0.697684;0.016433;77184;4;/public/script2.js
200;3;108070;0;0.237869;0.116233;0.114056;0.238066;0.014388;25728;4;/public/script3.js
200;3;33641;0;0.248468;0.118635;0.116529;0.254927;0.012194;8576;4;/public/script4.js
200;3;37541;0;0.250319;0.116276;0.113953;0.257021;0.015719;9649;4;/public/script5.js
200;3;42074;0;0.227254;0.105906;0.103733;0.229334;0.010020;9649;4;/public/script6.js
200;3;10514;0;0.252948;0.110222;0.108148;0.254882;0.006001;2680;4;/public/script7.js
200;3;19206;0;0.247689;0.113977;0.111927;0.251170;0.009155;4824;4;/public/script8.js
200;3;37110;0;0.255194;0.110984;0.108921;0.259983;0.006733;9648;4;/public/script9.js
200;3;32534;0;0.241625;0.104355;0.102297;0.247121;0.004327;8040;4;/public/script10.js
200;3;8437;0;0.249138;0.102991;0.100908;0.254104;0.005516;2144;4;/public/script11.js
200;3;15094;0;0.424530;0.107166;0.105060;0.426102;0.007144;6432;4;/public/script12.js
200;3;12726;0;0.252657;0.101408;0.099371;0.252706;0.005650;3216;4;/public/script13.js
200;3;12593;0;0.423396;0.104337;0.102264;0.425623;0.004475;5360;4;/public/script14.js
200;3;9608;0;0.390411;0.122553;0.120196;0.390507;0.004245;3752;4;/public/script15.js
200;3;11321;0;0.374755;0.097579;0.095465;0.377244;0.005471;4271;4;/public/style1.css
200;3;1109;0;0.387586;0.129734;0.126998;0.387645;0.005983;430;4;/public/style2.css
200;3;5751;0;0.371783;0.096602;0.094532;0.371899;0.004006;2139;4;/public/style3.css
200;3;6912;0;0.385461;0.129702;0.127108;0.386566;0.005880;2672;4;/public/style4.css
200;3;9736;0;0.383880;0.125861;0.123180;0.383926;0.004396;3738;4;/public/style5.css
200;3;2390;0;0.448694;0.145036;0.142360;0.448811;0.003619;1073;4;/public/style6.css
200;3;143466;0;0.128867;0.089948;0.082085;0.137126;0.008723;19673;5;/public/
200;3;2034;0;0.229967;0.139287;0.137033;0.230006;0.023506;468;5;/public/script1.js
200;3;193750;0;0.192472;0.133780;0.131395;0.398368;0.016356;77184;5;/public/script2.js
200;3;111369;0;0.228463;0.126277;0.123796;0.231014;0.014572;25728;5;/public/script3.js
200;3;43114;0;0.194452;0.129916;0.127586;0.198912;0.013259;8576;5;/public/script4.js
