response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download
200;2;1;0;2.386059;2.061036;2.060922;2.386101;0.922241;4
200;2;1;0;2.434481;2.097780;2.097658;2.434521;0.914772;4
200;2;1;0;2.455856;2.122309;2.122246;2.455906;0.919511;4
200;2;1;0;2.650066;2.315564;2.315465;2.650100;0.908525;4
200;2;1;0;2.387270;2.057943;2.057843;2.387337;0.900775;4
200;2;1;0;3.858915;2.129672;2.129617;3.859149;0.916489;4
200;2;1;0;3.804588;2.122452;2.122396;3.804773;0.901736;4
200;2;0;0;6.618791;6.281302;6.281095;6.618956;5.898649;4
200;2;1;0;2.562457;2.230729;2.230648;2.562499;0.892640;4
200;2;1;0;3.793523;3.243852;3.243659;3.793741;0.898960;4
200;2;1;0;3.749580;3.145649;3.145481;3.749840;0.887320;4
