response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download
200;3;12;0;0.314538;0.087049;0.084655;0.314677;0.004302;4
200;3;9;0;0.433419;0.126310;0.124262;0.433511;0.004205;4
200;3;7;0;0.517636;0.136162;0.134937;0.517704;0.007730;4
200;3;7;0;0.522166;0.135286;0.134102;0.522233;0.006428;4
200;3;8;0;0.444844;0.129471;0.128199;0.444894;0.005038;4
200;3;7;0;0.527489;0.183363;0.181987;0.527548;0.004304;4
200;3;7;0;0.515596;0.134171;0.132929;0.515678;0.005747;4
200;3;7;0;0.544029;0.194293;0.192947;0.544064;0.004534;4
200;3;7;0;0.516279;0.177852;0.176402;0.516321;0.003913;4
200;3;7;0;0.537215;0.189473;0.187965;0.537288;0.003839;4
200;3;6;0;0.598599;0.186039;0.184660;0.598639;0.002701;4
200;3;7;0;0.526757;0.178032;0.176461;0.526802;0.002621;4
200;3;6;0;0.600212;0.182457;0.181137;0.600260;0.004361;4
200;3;7;0;0.553708;0.182860;0.181365;0.553750;0.006545;4
200;3;6;0;0.572986;0.179797;0.178421;0.573028;0.005106;4
200;3;5;0;0.675561;0.190593;0.189151;0.675642;0.006070;4
200;3;6;0;0.574686;0.184292;0.182887;0.574726;0.004260;4
200;3;15;0;0.264005;0.226069;0.224310;0.264034;0.005277;4
200;3;4;0;0.804474;0.279645;0.277191;0.804569;0.007289;4
200;3;4;0;0.891911;0.285370;0.283074;0.891987;0.006469;4
200;3;4;0;0.810376;0.278578;0.276530;0.810442;0.005061;4
200;3;6;0;0.575216;0.181424;0.180088;0.575263;0.003076;4
200;3;4;0;0.884813;0.283735;0.281280;0.884930;0.005076;4
200;3;4;0;0.877178;0.282304;0.280210;0.877253;0.003876;4
200;3;4;0;0.862694;0.275919;0.273382;0.862789;0.005051;4
200;3;4;0;0.889240;0.280780;0.278683;0.889370;0.002883;4
200;3;4;0;0.886836;0.280316;0.278087;0.886890;0.003852;4
200;3;13;0;0.288709;0.250616;0.248673;0.288742;0.003657;4
200;3;4;0;0.928629;0.276066;0.274064;0.928699;0.003351;4
200;3;3;0;1.072555;0.399127;0.395708;1.072592;0.008360;4
200;3;3;0;1.091639;0.409123;0.405477;1.091701;0.008340;4
200;3;3;0;1.129021;0.397250;0.392796;1.129064;0.004982;4
200;3;3;0;1.035684;0.376100;0.372373;1.035733;0.003029;4
200;3;3;0;1.213300;0.439634;0.435477;1.213387;0.008252;4
200;3;3;0;1.136562;0.403254;0.399857;1.136600;0.003661;4
200;3;3;0;1.092559;0.407367;0.403976;1.092589;0.002910;4
200;3;2;0;1.385634;0.502216;0.497440;1.385684;0.005613;4
200;3;3;0;1.229486;0.482966;0.478445;1.229561;0.006727;4
200;3;3;0;1.089932;0.404851;0.401474;1.089968;0.005485;4
200;3;3;0;1.088155;0.404224;0.400936;1.088182;0.003590;4
200;3;3;0;1.089886;0.404673;0.401287;1.089916;0.006488;4
200;3;3;0;1.227378;0.479536;0.474920;1.227479;0.005998;4
200;3;3;0;1.231384;0.487601;0.483230;1.231448;0.003945;4
200;3;3;0;1.230934;0.487609;0.483148;1.231040;0.004031;4
200;3;3;0;1.278068;0.486465;0.482348;1.278163;0.004367;4
200;3;2;0;1.370377;0.532891;0.528772;1.370431;0.007740;4
200;3;3;0;1.295655;0.490401;0.486290;1.295742;0.002984;4
200;3;2;0;1.350112;0.527244;0.522865;1.350192;0.005134;4
200;3;3;0;1.313554;0.492915;0.489068;1.313645;0.003810;4
200;3;2;0;1.444655;0.547505;0.544117;1.444711;0.006690;4
200;3;2;0;1.335985;0.510917;0.507433;1.336058;0.005319;4
200;3;2;0;1.444928;0.534986;0.531605;1.444971;0.005361;4
200;3;2;0;1.346282;0.521447;0.516760;1.346364;0.003144;4
200;3;2;0;1.438351;0.540641;0.537184;1.438448;0.004294;4
200;3;2;0;1.438688;0.543220;0.539835;1.438759;0.003035;4
200;3;2;0;1.575925;0.753790;0.746465;1.576082;0.004228;4
200;3;1;0;2.276147;0.775056;0.771011;2.276218;0.003861;4
200;3;2;0;1.635512;0.760682;0.754051;1.635713;0.002723;4
200;3;2;0;1.644649;0.771826;0.766737;1.644749;0.003280;4
200;3;1;0;2.218790;0.775496;0.771484;2.218881;0.003375;4
200;3;1;0;2.222007;0.847451;0.839823;2.222090;0.003707;4
200;3;1;0;2.084135;0.849892;0.843328;2.084230;0.005083;4
200;3;1;0;2.218849;0.845315;0.839815;2.218913;0.003152;4
200;3;1;0;2.215598;0.846592;0.840124;2.215708;0.003253;4
200;3;1;0;2.219634;0.847024;0.842821;2.219716;0.004068;4
200;3;2;0;1.788484;0.958496;0.951266;1.788579;0.002959;4
200;3;1;0;2.221501;0.852016;0.846851;2.221622;0.002717;4
200;3;2;0;1.752713;0.964089;0.950780;1.752811;0.004299;4
200;3;2;0;1.796997;0.962467;0.955547;1.797043;0.004463;4
200;3;2;0;1.788672;0.958469;0.950398;1.788739;0.005300;4
200;3;2;0;1.745277;0.960414;0.950126;1.745449;0.003951;4
200;3;2;0;1.798038;0.959250;0.953346;1.798106;0.005588;4
200;3;2;0;1.336728;1.303324;1.294686;1.336786;0.005680;4
200;3;2;0;1.749443;0.961266;0.952498;1.749531;0.004085;4
200;3;2;0;1.790336;0.963546;0.955991;1.790427;0.003781;4
