response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download
200;2;3;0;1.112452;1.059643;1.059567;1.112498;0.054863;4
200;2;3;0;1.217231;1.128409;1.128308;1.217276;0.044621;4
200;2;3;0;1.221144;1.127585;1.127381;1.221173;0.062775;4
200;2;3;0;1.218616;1.138353;1.138277;1.218645;0.074514;4
200;2;3;0;1.209788;1.117731;1.117650;1.209827;0.052511;4
200;2;4;0;0.990056;0.868037;0.867979;0.990103;0.046372;4
200;2;3;0;1.215895;1.134796;1.134698;1.215942;0.071761;4
200;2;4;0;0.932145;0.839111;0.839013;0.932170;0.054007;4
200;2;3;0;1.210789;1.120713;1.120615;1.210867;0.046051;4
200;2;3;0;1.058600;0.886165;0.886103;1.058673;0.058387;4
200;2;3;0;1.117399;1.071662;1.071609;1.117507;0.069848;4
200;2;3;0;1.005383;0.876988;0.876802;1.005432;0.066806;4
200;2;4;0;0.944562;0.850772;0.850701;0.944596;0.061454;4
200;2;4;0;0.984287;0.857798;0.857734;0.984320;0.075723;4
200;2;3;0;1.132353;1.073929;1.073876;1.132399;0.069205;4
200;2;4;0;0.967766;0.853490;0.853429;0.967801;0.062901;4
200;2;3;0;1.120386;1.064387;1.064314;1.120431;0.070758;4
200;2;4;0;0.987039;0.878362;0.878204;0.987435;0.071713;4
200;2;3;0;1.116485;1.070852;1.070797;1.118083;0.066066;4
200;2;3;0;1.213830;1.090064;1.089992;1.213861;0.045171;4
200;2;5;0;0.735576;0.701793;0.701707;0.735630;0.044007;4
200;2;3;0;1.125683;1.064743;1.064685;1.125723;0.072180;4
200;2;4;0;0.931544;0.837480;0.837412;0.931581;0.056425;4
200;2;3;0;1.217429;1.133830;1.133746;1.217464;0.055798;4
200;2;4;0;0.985046;0.883786;0.883734;0.985673;0.069605;4
200;2;3;0;1.010910;0.885601;0.885558;1.010988;0.060615;4
200;2;4;0;0.990207;0.868732;0.868667;0.990247;0.067054;4
200;2;4;0;0.944662;0.851094;0.851023;0.944708;0.076065;4
200;2;3;0;1.113185;1.073032;1.072955;1.113238;0.051464;4
