response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;2;43;1922118;0.545386;0.084441;0.084323;0.545638;0.045632
 200;2;26;1168223;0.897663;0.082444;0.082154;0.897757;0.039406
 200;2;41;1831045;0.572648;0.088594;0.088114;0.572777;0.044527
 200;2;35;1544416;0.678803;0.092726;0.091867;0.679079;0.044326
 200;2;27;1201301;0.872872;0.088333;0.088027;0.873037;0.043580
 200;2;40;1787657;0.586436;0.093457;0.093111;0.586679;0.053939
 200;2;36;1594204;0.657737;0.171163;0.170602;0.657871;0.126788
 200;2;27;1179954;0.888652;0.080066;0.079783;0.888832;0.037316
 200;2;43;1899476;0.552046;0.086097;0.085661;0.552142;0.042539
 200;2;27;1183130;0.886306;0.082331;0.082021;0.886446;0.042406
