response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect
 200;2;6;2878664;0.124683;0.124629;0.124462;3.642646;0.057530
 200;2;4;2027762;0.093687;0.093514;0.092962;5.171194;0.045369
 200;2;4;1875351;0.089302;0.089215;0.088927;5.591461;0.036535
 200;2;4;1918574;0.088843;0.088731;0.088411;5.465491;0.040655
 200;2;7;3048176;0.095074;0.094885;0.094461;3.440074;0.040048
 200;2;7;3050210;0.087987;0.087850;0.087445;3.437781;0.040712
 200;2;4;2080262;0.088188;0.088076;0.087763;5.040689;0.040577
 200;2;6;2857064;0.095613;0.095379;0.094684;3.670185;0.042643
 200;2;5;2330101;0.089852;0.089701;0.089370;4.500213;0.041026
 200;2;7;2947232;0.096889;0.096785;0.096401;3.557899;0.040686
